Area,Year,Age,Sex,Legally registered relationship status,Ethnic group,Value,Flags
"Hauraki District","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","European",11700,
"Hauraki District","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","Maori",2319,
"Hauraki District","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","Pacific Peoples",228,
"Hauraki District","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","Asian",321,
"Hauraki District","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","Middle Eastern/Latin American/African",21,
"Hauraki District","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","New Zealander",249,
"Waikato District","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","European",35973,
"Waikato District","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","Maori",9363,
"Waikato District","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","Pacific Peoples",1236,
"Waikato District","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","Asian",1635,
"Waikato District","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","Middle Eastern/Latin American/African",159,
"Waikato District","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","New Zealander",816,
"Matamata-Piako District","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","European",20721,
"Matamata-Piako District","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","Maori",2826,
"Matamata-Piako District","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","Pacific Peoples",276,
"Matamata-Piako District","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","Asian",876,
"Matamata-Piako District","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","Middle Eastern/Latin American/African",114,
"Matamata-Piako District","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","New Zealander",420,
"Hamilton City","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","European",74526,
"Hamilton City","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","Maori",18951,
"Hamilton City","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","Pacific Peoples",4158,
"Hamilton City","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","Asian",14391,
"Hamilton City","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","Middle Eastern/Latin American/African",1785,
"Hamilton City","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","New Zealander",1662,
"Waipa District","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","European",31152,
"Waipa District","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","Maori",4017,
"Waipa District","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","Pacific Peoples",315,
"Waipa District","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","Asian",930,
"Waipa District","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","Middle Eastern/Latin American/African",102,
"Waipa District","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","New Zealander",669,
"Otorohanga District","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","European",5247,
"Otorohanga District","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","Maori",1581,
"Otorohanga District","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","Pacific Peoples",114,
"Otorohanga District","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","Asian",162,
"Otorohanga District","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","Middle Eastern/Latin American/African",15,
"Otorohanga District","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","New Zealander",141,
"South Waikato District","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","European",11325,
"South Waikato District","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","Maori",4353,
"South Waikato District","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","Pacific Peoples",1524,
"South Waikato District","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","Asian",477,
"South Waikato District","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","Middle Eastern/Latin American/African",39,
"South Waikato District","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","New Zealander",234,
"Waitomo District","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","European",4281,
"Waitomo District","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","Maori",2367,
"Waitomo District","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","Pacific Peoples",198,
"Waitomo District","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","Asian",156,
"Waitomo District","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","Middle Eastern/Latin American/African",15,
"Waitomo District","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","New Zealander",108,
"Taupo District","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","European",19131,
"Taupo District","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","Maori",6081,
"Taupo District","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","Pacific Peoples",507,
"Taupo District","2013","Total people, age group","Total people, sex","Total people, Legally Registered Relationship Status","Asian",804,
